Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4522.238701,4966.52843,5642.842617,6146.827896,6603.719658,7395.154708,8061.053646,8691.04502,9050.132747,9028.23301,9603.390812,10018.58795,10373.25796,10875.70835,11843.0973,12774.73122,15787.47148,16981.39508,16547.67779,16214.09074,18235.74282,20437.70453,21620.28097,22578.72892,22978.1913,22959.55434,23228.21697,24747.30715,
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986.3336697,1098.790761,1267.969896,1461.262627,1668.183683,1869.021571,2070.278968,2276.6651,2458.045748,2663.851145,2932.616976,3226.080783,3550.818704,3960.331498,4454.14512,5091.348308,5882.319629,6862.3488,7633.256213,8372.439978,9330.903869,10384.3666,11359.50936,12394.21219,13481.86292,14492.42447,15548.0965,16842.40797,
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063.740579,2059.075246,2028.56034,2002.877982,1994.613975,2112.723417,2247.339009,2302.172321,2374.481532,2387.340364,2335.801097,2342.297627,2294.645369,2267.732666,2317.062997,2387.863982,2450.013776,2507.777152,2566.580004,2611.442454,2635.210701,2511.420195,2764.397122,2986.589751,3227.679071,3461.989199,3685.164497,3944.751162,
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951.77928,1884.360304,1815.163333,1664.017465,1689.086821,1737.579401,1799.474723,1878.030795,1934.96228,1998.217999,2063.332535,2146.644015,2213.622198,2299.557177,2456.766907,2518.490715,2613.788453,2739.021112,2811.975921,2817.317249,2869.879775,2969.047575,3079.147895,3215.076884,3377.54507,3512.66769,3620.284614,3722.431175,
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896.1412902,817.2927474,719.4778068,612.9697871,580.0880497,577.3788095,565.920298,530.1402343,515.3108083,489.3088709,454.203459,442.4120882,449.0696626,468.9466467,498.3648508,528.8358574,555.897231,586.9547272,615.1315363,616.7033021,646.7019052,682.4321554,720.3532244,769.1059729,829.8642117,867.6336477,869.1977482,889.0956447,
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3321.630389,3420.069289,3492.925964,3445.441466,3235.099278,3340.022732,3448.404357,3387.563256,3452.118424,3318.757974,3550.247837,3666.835775,3789.293147,3790.227886,3914.809245,4222.069678,4473.815525,4368.012881,4542.843881,4759.31198,5080.223262,5213.946921,5372.260679,5514.160192,5851.973644,5919.719974,5669.165189,5454.263865,
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4823.966435,4990.354504,5214.701893,5527.350774,5871.287711,6201.413728,6341.624178,6568.467932,6577.397279,6303.286183,6539.258314,6703.454384,6878.852636,7190.665598,7678.218502,8190.643803,8901.495638,9645.682053,10036.03682,10118.18026,10570.20806,11463.53505,12016.44508,12661.09407,13383.69812,13800.53251,14101.07895,14503.32619,
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667.465983,1582.787581,1706.347176,1748.088409,1643.51709,1690.402652,1653.015404,1702.631337,1697.751796,1712.178623,1892.752238,1932.827444,1960.200493,1993.285811,2038.420314,2112.773206,2182.520577,2205.043511,2282.696933,2317.14503,2376.538633,2465.324918,2531.048266,2627.361749,2668.91272,2663.844424,2689.029661,2751.02017,
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070.659293,1096.020182,1211.90658,1312.515236,1554.847013,1766.401383,1954.287536,2157.863466,2400.518768,2653.788887,3039.196148,3115.969545,3268.135925,3411.830204,3801.025421,4133.51398,4541.059969,5306.871357,5708.804961,5619.20218,5708.98575,5991.77849,6101.759022,6184.955849,6264.234888,6317.255214,6604.486685,6912.638447,
